Comuna		Básica primaria	Básica secundaria	Especialización, maestría, doctorado	Media academica o clasica	Media tecnica	Ninguno	No Informa	Normalista	Preescolar	Técnica profesional o Tecnológica	Universitario
01	2820	12657	8284	756	12465	959	1085	1319	149	912	4505	3618
02	4167	11263	8651	9645	17668	1582	1227	2518	373	1380	11173	28823
03	1031	5496	3830	1022	5769	579	649	1185	131	298	2915	4032
04	2131	9535	6866	633	11451	1182	822	934	432	690	5628	4743
05	4036	13230	11026	2778	21539	2403	940	1284	282	1148	15792	17699
06	6553	25185	19044	1068	35370	3186	1882	1469	399	1884	14738	10190
07	3069	14161	9804	468	15331	2287	1138	722	160	965	5768	3901
08	3596	16494	12256	1074	20657	2662	1022	1061	273	1145	10178	9605
09	1206	6468	4572	470	7585	951	536	717	142	368	3211	3578
10	3586	15313	11532	2417	20499	2330	1205	1243	334	974	11240	14504
11	4254	18323	13573	901	21422	2927	1249	875	215	1293	10218	7720
12	3106	13550	10100	395	15710	1218	1055	582	149	882	5991	4079
13	7337	31891	21537	445	31259	3444	2885	1349	494	2221	8861	4733
14	9544	37434	25001	244	38050	2266	3484	1092	355	2590	7407	3254
15	7706	27727	20287	1107	28368	2638	2953	1540	1092	2296	10106	7649
16	3966	18288	12545	357	18108	1472	1566	825	1110	1402	6255	3917
17	6410	15467	13089	15713	23643	3019	1744	2169	655	1831	16738	47000
18	5936	23531	15606	1710	26379	1976	1990	1147	246	1785	8376	9812
19	2773	8835	7105	9471	13716	1799	1193	1468	525	870	9216	26603
20	3111	15282	8828	767	11876	1639	1915	736	117	1008	3342	2461
21	7554	24427	18777	274	30595	3095	2419	1070	182	2229	9060	3857
22	1285	2631	2176	4772	3515	252	346	662	89	427	1844	9187
CP	2581	13858	9785	873	13492	550	1889	2573	125	681	3037	3188
RD	201	844	571	4	707	52	79	24	2	60	144	66
